id,SrcField,SrcFile
VIC_MW007,AAC,IDM00003.shp
WA_MW001,AAC,IDM00003.shp
WA_MW002,AAC,IDM00003.shp
WA_MW003,AAC,IDM00003.shp
WA_MW004,AAC,IDM00003.shp
WA_MW005,AAC,IDM00003.shp
WA_MW006,AAC,IDM00003.shp
WA_MW007,AAC,IDM00003.shp
WA_MW008,AAC,IDM00003.shp
WA_MW009,AAC,IDM00003.shp
WA_MW010,AAC,IDM00003.shp
WA_MW011,AAC,IDM00003.shp
WA_MW012,AAC,IDM00003.shp
WA_MW013,AAC,IDM00003.shp
WA_MW014,AAC,IDM00003.shp
WA_MW015,AAC,IDM00003.shp
WA_MW016,AAC,IDM00003.shp
NSW_FW001,AAC,IDM00007.shp
NSW_FW002,AAC,IDM00007.shp
NSW_FW003,AAC,IDM00007.shp
NSW_FW004,AAC,IDM00007.shp
NSW_FW005,AAC,IDM00007.shp
NSW_FW006,AAC,IDM00007.shp
NSW_FW007,AAC,IDM00007.shp
NSW_FW008,AAC,IDM00007.shp
NSW_FW009,AAC,IDM00007.shp
NSW_FW010,AAC,IDM00007.shp
NSW_FW011,AAC,IDM00007.shp
NSW_FW012,AAC,IDM00007.shp
NSW_FW013,AAC,IDM00007.shp
NSW_FW014,AAC,IDM00007.shp
NSW_FW015,AAC,IDM00007.shp
NSW_FW016,AAC,IDM00007.shp
NSW_FW017,AAC,IDM00007.shp
NSW_FW018,AAC,IDM00007.shp
NSW_FW019,AAC,IDM00007.shp
NSW_FW020,AAC,IDM00007.shp
NSW_FW021,AAC,IDM00007.shp
NT_FW001,AAC,IDM00007.shp
NT_FW002,AAC,IDM00007.shp
NT_FW003,AAC,IDM00007.shp
NT_FW004,AAC,IDM00007.shp
NT_FW005,AAC,IDM00007.shp
NT_FW006,AAC,IDM00007.shp
NT_FW007,AAC,IDM00007.shp
NT_FW008,AAC,IDM00007.shp
NT_FW009,AAC,IDM00007.shp
NT_FW010,AAC,IDM00007.shp
NT_FW011,AAC,IDM00007.shp
NT_FW012,AAC,IDM00007.shp
NT_FW013,AAC,IDM00007.shp
NT_FW014,AAC,IDM00007.shp
NT_FW015,AAC,IDM00007.shp
NT_FW016,AAC,IDM00007.shp
NT_FW017,AAC,IDM00007.shp
NT_FW018,AAC,IDM00007.shp
NT_FW019,AAC,IDM00007.shp
NT_FW020,AAC,IDM00007.shp
QLD_FW001,AAC,IDM00007.shp
QLD_FW002,AAC,IDM00007.shp
QLD_FW003,AAC,IDM00007.shp
QLD_FW004,AAC,IDM00007.shp
QLD_FW005,AAC,IDM00007.shp
QLD_FW006,AAC,IDM00007.shp
QLD_FW007,AAC,IDM00007.shp
QLD_FW008,AAC,IDM00007.shp
QLD_FW009,AAC,IDM00007.shp
QLD_FW010,AAC,IDM00007.shp
QLD_FW011,AAC,IDM00007.shp
QLD_FW012,AAC,IDM00007.shp
QLD_FW013,AAC,IDM00007.shp
QLD_FW014,AAC,IDM00007.shp
QLD_FW015,AAC,IDM00007.shp
SA_FW001,AAC,IDM00007.shp
SA_FW002,AAC,IDM00007.shp
SA_FW003,AAC,IDM00007.shp
SA_FW004,AAC,IDM00007.shp
SA_FW005,AAC,IDM00007.shp
SA_FW006,AAC,IDM00007.shp
SA_FW007,AAC,IDM00007.shp
SA_FW008,AAC,IDM00007.shp
SA_FW009,AAC,IDM00007.shp
SA_FW010,AAC,IDM00007.shp
SA_FW011,AAC,IDM00007.shp
SA_FW012,AAC,IDM00007.shp
SA_FW013,AAC,IDM00007.shp
SA_FW014,AAC,IDM00007.shp
SA_FW015,AAC,IDM00007.shp
TAS_FW001,AAC,IDM00007.shp
TAS_FW002,AAC,IDM00007.shp
TAS_FW003,AAC,IDM00007.shp
TAS_FW004,AAC,IDM00007.shp
TAS_FW005,AAC,IDM00007.shp
TAS_FW006,AAC,IDM00007.shp
TAS_FW007,AAC,IDM00007.shp
TAS_FW008,AAC,IDM00007.shp
TAS_FW009,AAC,IDM00007.shp
TAS_FW010,AAC,IDM00007.shp
TAS_FW011,AAC,IDM00007.shp
VIC_FW001,AAC,IDM00007.shp
VIC_FW002,AAC,IDM00007.shp
VIC_FW003,AAC,IDM00007.shp
VIC_FW004,AAC,IDM00007.shp
VIC_FW005,AAC,IDM00007.shp
VIC_FW006,AAC,IDM00007.shp
VIC_FW007,AAC,IDM00007.shp
VIC_FW008,AAC,IDM00007.shp
VIC_FW009,AAC,IDM00007.shp
WA_FW041,AAC,IDM00007.shp
WA_FW042,AAC,IDM00007.shp
WA_FW043,AAC,IDM00007.shp
WA_FW044,AAC,IDM00007.shp
WA_FW045,AAC,IDM00007.shp
WA_FW046,AAC,IDM00007.shp
WA_FW047,AAC,IDM00007.shp
WA_FW048,AAC,IDM00007.shp
WA_FW049,AAC,IDM00007.shp
WA_FW050,AAC,IDM00007.shp
WA_FW051,AAC,IDM00007.shp
WA_FW052,AAC,IDM00007.shp
WA_FW053,AAC,IDM00007.shp
WA_FW054,AAC,IDM00007.shp
WA_FW055,AAC,IDM00007.shp
WA_FW056,AAC,IDM00007.shp
WA_FW057,AAC,IDM00007.shp
WA_FW058,AAC,IDM00007.shp
WA_FW059,AAC,IDM00007.shp
WA_FW060,AAC,IDM00007.shp
WA_FW061,AAC,IDM00007.shp
WA_FW062,AAC,IDM00007.shp
WA_FW063,AAC,IDM00007.shp
WA_FW064,AAC,IDM00007.shp
WA_FW066,AAC,IDM00007.shp
WA_FW067,AAC,IDM00007.shp
WA_FW068,AAC,IDM00007.shp
WA_FW069,AAC,IDM00007.shp
WA_FW070,AAC,IDM00007.shp
WA_FW071,AAC,IDM00007.shp
WA_FW072,AAC,IDM00007.shp
WA_FW073,AAC,IDM00007.shp
WA_FW074,AAC,IDM00007.shp
WA_FW075,AAC,IDM00007.shp
WA_FW076,AAC,IDM00007.shp
WA_FW077,AAC,IDM00007.shp
WA_FW078,AAC,IDM00007.shp
WA_FW079,AAC,IDM00007.shp
WA_FW080,AAC,IDM00007.shp
WA_FW081,AAC,IDM00007.shp
WA_FW082,AAC,IDM00007.shp
WA_FW083,AAC,IDM00007.shp
WA_FW084,AAC,IDM00007.shp
WA_FW085,AAC,IDM00007.shp
WA_FW086,AAC,IDM00007.shp
WA_FW087,AAC,IDM00007.shp
WA_FW088,AAC,IDM00007.shp
TAS_PT014,AAC,IDM00013.shp
TAS_PT048,AAC,IDM00013.shp
TAS_PT051,AAC,IDM00013.shp
TAS_PT012,AAC,IDM00013.shp
TAS_PT031,AAC,IDM00013.shp
TAS_PT050,AAC,IDM00013.shp
TAS_PT026,AAC,IDM00013.shp
TAS_PT045,AAC,IDM00013.shp
TAS_PT052,AAC,IDM00013.shp
TAS_PT005,AAC,IDM00013.shp
TAS_PT025,AAC,IDM00013.shp
TAS_PT028,AAC,IDM00013.shp
TAS_PT037,AAC,IDM00013.shp
TAS_PT041,AAC,IDM00013.shp
TAS_PT017,AAC,IDM00013.shp
TAS_PT040,AAC,IDM00013.shp
TAS_PT006,AAC,IDM00013.shp
TAS_PT013,AAC,IDM00013.shp
TAS_PT018,AAC,IDM00013.shp
TAS_PT064,AAC,IDM00013.shp
TAS_PT021,AAC,IDM00013.shp
TAS_PT039,AAC,IDM00013.shp
TAS_PT016,AAC,IDM00013.shp
TAS_PT023,AAC,IDM00013.shp
TAS_PT047,AAC,IDM00013.shp
TAS_PT117,AAC,IDM00013.shp
TAS_PT119,AAC,IDM00013.shp
TAS_PT120,AAC,IDM00013.shp
TAS_PT121,AAC,IDM00013.shp
TAS_PT123,AAC,IDM00013.shp
TAS_PT124,AAC,IDM00013.shp
TAS_PT004,AAC,IDM00013.shp
TAS_PT125,AAC,IDM00013.shp
TAS_PT126,AAC,IDM00013.shp
TAS_PT127,AAC,IDM00013.shp
TAS_PT128,AAC,IDM00013.shp
TAS_PT129,AAC,IDM00013.shp
TAS_PT130,AAC,IDM00013.shp
TAS_PT044,AAC,IDM00013.shp
TAS_PT131,AAC,IDM00013.shp
TAS_PT132,AAC,IDM00013.shp
TAS_PT133,AAC,IDM00013.shp
TAS_PT134,AAC,IDM00013.shp
TAS_PT135,AAC,IDM00013.shp
TAS_PT139,AAC,IDM00013.shp
TAS_PT137,AAC,IDM00013.shp
TAS_PT138,AAC,IDM00013.shp
TAS_PT140,AAC,IDM00013.shp
TAS_PT136,AAC,IDM00013.shp
TAS_PT067,AAC,IDM00013.shp
TAS_PT068,AAC,IDM00013.shp
TAS_PT069,AAC,IDM00013.shp
TAS_PT070,AAC,IDM00013.shp
TAS_PT071,AAC,IDM00013.shp
TAS_PT076,AAC,IDM00013.shp
TAS_PT077,AAC,IDM00013.shp
TAS_PT008,AAC,IDM00013.shp
TAS_PT001,AAC,IDM00013.shp
TAS_PT024,AAC,IDM00013.shp
TAS_PT054,AAC,IDM00013.shp
TAS_PT033,AAC,IDM00013.shp
TAS_PT084,AAC,IDM00013.shp
TAS_PT032,AAC,IDM00013.shp
TAS_PT057,AAC,IDM00013.shp
TAS_PT020,AAC,IDM00013.shp
TAS_PT007,AAC,IDM00013.shp
TAS_PT036,AAC,IDM00013.shp
TAS_PT009,AAC,IDM00013.shp
TAS_PT053,AAC,IDM00013.shp
TAS_PT038,AAC,IDM00013.shp
TAS_PT094,AAC,IDM00013.shp
TAS_PT095,AAC,IDM00013.shp
TAS_PT096,AAC,IDM00013.shp
TAS_PT097,AAC,IDM00013.shp
TAS_PT002,AAC,IDM00013.shp
TAS_PT011,AAC,IDM00013.shp
TAS_PT072,AAC,IDM00013.shp
TAS_PT073,AAC,IDM00013.shp
TAS_PT015,AAC,IDM00013.shp
TAS_PT022,AAC,IDM00013.shp
TAS_PT075,AAC,IDM00013.shp
TAS_PT027,AAC,IDM00013.shp
TAS_PT029,AAC,IDM00013.shp
TAS_PT030,AAC,IDM00013.shp
TAS_PT034,AAC,IDM00013.shp
TAS_PT035,AAC,IDM00013.shp
TAS_PT049,AAC,IDM00013.shp
TAS_PT074,AAC,IDM00013.shp
TAS_PT055,AAC,IDM00013.shp
TAS_PT056,AAC,IDM00013.shp
TAS_PT058,AAC,IDM00013.shp
TAS_PT061,AAC,IDM00013.shp
TAS_PT098,AAC,IDM00013.shp
TAS_PT099,AAC,IDM00013.shp
TAS_PT060,AAC,IDM00013.shp
TAS_PT101,AAC,IDM00013.shp
TAS_PT102,AAC,IDM00013.shp
TAS_PT103,AAC,IDM00013.shp
TAS_PT104,AAC,IDM00013.shp
TAS_PT105,AAC,IDM00013.shp
TAS_PT106,AAC,IDM00013.shp
TAS_PT107,AAC,IDM00013.shp
TAS_PT108,AAC,IDM00013.shp
TAS_PT109,AAC,IDM00013.shp
TAS_PT110,AAC,IDM00013.shp
TAS_PT111,AAC,IDM00013.shp
TAS_PT112,AAC,IDM00013.shp
TAS_PT042,AAC,IDM00013.shp
TAS_PT114,AAC,IDM00013.shp
TAS_PT115,AAC,IDM00013.shp
TAS_PT116,AAC,IDM00013.shp
TAS_PT066,AAC,IDM00013.shp
TAS_PT010,AAC,IDM00013.shp
TAS_PT059,AAC,IDM00013.shp
TAS_PT141,AAC,IDM00013.shp
SA_PT088,AAC,IDM00013.shp
SA_PT089,AAC,IDM00013.shp
SA_PT090,AAC,IDM00013.shp
SA_PT092,AAC,IDM00013.shp
SA_PT093,AAC,IDM00013.shp
SA_PT094,AAC,IDM00013.shp
SA_PT095,AAC,IDM00013.shp
SA_PT096,AAC,IDM00013.shp
SA_PT097,AAC,IDM00013.shp
SA_PT098,AAC,IDM00013.shp
SA_PT099,AAC,IDM00013.shp
SA_PT100,AAC,IDM00013.shp
SA_PT101,AAC,IDM00013.shp
SA_PT103,AAC,IDM00013.shp
SA_PT104,AAC,IDM00013.shp
SA_PT105,AAC,IDM00013.shp
SA_PT106,AAC,IDM00013.shp
SA_PT107,AAC,IDM00013.shp
SA_PT108,AAC,IDM00013.shp
SA_PT109,AAC,IDM00013.shp
SA_PT110,AAC,IDM00013.shp
SA_PT111,AAC,IDM00013.shp
